ID,sequence,timestamp
781276,"Created, Ready, Reserved, InProgress, Completed","2021-10-07 14:18:00, 2021-10-08 11:21:40, 2021-10-19 14:07:00, 2021-11-04 16:28:17, 2021-11-09 14:12:02"
398852,"Created, Ready, Reserved, Exited","2021-01-26 11:51:00, 2021-01-29 08:15:27, 2021-02-17 14:49:58, 2021-03-06 12:26:19"
136187,"Created, Ready, Reserved, InProgress, Completed","2020-09-18 14:34:00, 2020-09-19 19:46:28, 2020-09-28 12:26:00, 2020-10-02 12:01:03, 2020-10-16 09:33:00"
298225,"Created, Ready, Reserved, InProgress, Completed","2021-01-26 09:48:00, 2021-01-27 14:03:26, 2021-02-08 15:07:07, 2021-02-09 10:39:10, 2021-04-06 09:17:14"
269934,"Created, Ready, Reserved, Ready, Reserved, InProgress, Completed","2020-12-07 15:32:00, 2020-12-08 18:21:51, 2020-12-09 09:17:50, 2020-12-10 14:31:47, 2020-12-22 08:53:00, 2021-01-04 11:42:52, 2021-05-19 09:26:05"
61296,"Created, Ready, Reserved, InProgress, Completed","2020-07-20 15:56:00, 2020-07-21 11:10:29, 2020-07-31 10:12:06, 2020-08-24 07:12:33, 2020-09-03 07:16:50"
289057,"Created, Ready, Reserved, InProgress, Completed","2020-12-02 08:18:00, 2020-12-03 01:52:45, 2020-12-03 07:48:06, 2020-12-03 13:56:04, 2021-06-09 10:05:17"
543318,"Created, Ready, Reserved, InProgress, Completed","2021-05-05 13:45:00, 2021-05-06 07:51:51, 2021-05-07 00:03:18, 2021-05-07 13:54:27, 2021-11-03 19:26:59"
919083,"Created, Ready, Reserved, InProgress, Completed","2020-03-09 10:33:00, 2020-03-12 09:12:10, 2020-03-23 13:45:06, 2020-05-11 10:09:12, 2020-09-19 09:24:28"
264016,"Created, Ready, Reserved, InProgress, Completed","2020-12-07 07:39:00, 2020-12-08 19:13:35, 2020-12-22 17:42:19, 2021-02-16 13:38:07, 2021-02-26 14:50:21"
389530,"Created, Ready, Reserved, InProgress, Completed","2021-01-19 09:57:00, 2021-01-20 08:32:44, 2021-02-08 14:10:34, 2021-03-17 11:09:04, 2022-02-10 10:39:10"
940139,"Created, Ready, Reserved, Exited","2020-01-16 09:12:00, 2020-01-17 15:11:46, 2020-01-31 10:57:00, 2020-02-03 15:20:45"
152086,"Created, Ready, Reserved, InProgress, Completed","2020-09-14 19:32:00, 2020-09-16 08:22:36, 2020-09-30 15:27:33, 2021-04-18 09:41:35, 2021-05-13 12:57:00"
856704,"Created, Ready, Reserved, InProgress, Completed","2020-01-17 15:03:00, 2020-01-17 15:03:48, 2020-01-24 13:55:41, 2020-01-24 15:05:51, 2020-03-09 13:54:14"
913942,"Created, Ready, InProgress, Exited, Ready, Reserved, InProgress, Completed","2020-02-13 13:30:00, 2020-02-13 13:30:30, 2020-02-13 13:34:28, 2020-04-01 11:01:35, 2020-04-14 15:27:25, 2020-04-23 07:47:01, 2020-04-24 14:27:04, 2020-09-25 11:07:50"
956528,"Created, Ready, Reserved, InProgress, Completed","2020-02-05 08:33:00, 2020-02-05 08:33:45, 2020-02-24 16:50:48, 2020-02-28 07:41:33, 2020-08-31 16:44:38"
149636,"Created, Ready, Reserved, InProgress, Completed","2020-08-18 09:46:00, 2020-08-18 09:51:39, 2020-08-28 11:44:43, 2020-09-14 09:41:18, 2021-03-22 08:20:21"
